amenities,beds,developer,district,electoral_div,lease,name,nearest_mrt_name,neighbourhood,property_type,rental,sqft,tenure,travel_time_changi,travel_time_orchard,travel_time_raffles,furnishing,amenities_count,nearest_mrt_dist_min,nearest_mrt_dist_metres,freehold_status,rental_log
"'Clubhouse', 'City View', 'Bathtub', 'Renovated', 'Aircon', 'TV', 'Sofa', 'Stove', 'Parking', 'Fridge', 'Dual Key', 'Playground', 'Bed', 'Oven', 'Dining Room Furniture', 'High Floor', 'Washer', 'Fibre Ready', 'Security', 'Closet''",2,Central Plaza Development Pte Ltd,D12,Jalan Besar,Flexible,Balestier Point,,Novena,Condo,2400,550,Freehold,62,18,27,Fully Furnished,20,none_nearby,none_nearby,Freehold,7.783224016336037
"'Jogging Track', 'Function Room', 'Spa Pavilion', 'Oven', 'Pond', 'Outdoor Dining', 'Games Room', 'Fun Pool', 'Lap Pool', 'TV', 'Hydrotherapy Pool', 'Dining Room Furniture', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Steam Room', 'Tennis Court', 'Underwater Fitness Station', 'Yoga Corner', 'Aircon', 'Hammocks', 'Sofa', 'Bed', 'Swimming Pool', 'Fitness Corner', 'Security', 'Retail Shops', 'Sculpture''",1,,D18,Pasir Ris-Punggol,Flexible,Coco Palms,Pasir Ris MRT,Pasir Ris,Condo,2100,463,99 Years,29,45,37,Fully Furnished,29,5,0,Non-Freehold,7.649692623711514
"'Clubhouse', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'BBQ''",3,Prince Development Pte Ltd,D21,Jurong,Flexible,Charisma View,,Bukit Timah,Condo,4500,1776,Freehold,76,36,46,Unknown,9,none_nearby,none_nearby,Freehold,8.411832675758411
"'Clubhouse', 'Jet Pool', 'Gym', 'Open Terrace', 'Sauna', 'Hydrotherapy Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Tennis Court', 'Security', 'Hydrotherapy Pool', 'Lap Pool', 'BBQ', 'Playground''",1,Lucky Pinnacle Pte Ltd (Far East),D02,Jalan Besar,less_than_24m,Icon,Tanjong Pagar MRT,None,Condo,2999,570,99 Years,57,21,9,Unknown,15,2,94,Non-Freehold,8.00603417874901
"'Renovated', 'Aircon', 'TV', 'Sofa', 'Gym', 'Fridge', 'Bed', 'Swimming Pool', 'Wading Pool', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",3,NTUC Choice Homes Co-Operative Ltd,D18,East Coast,greater_than_or_equal_24m,Simei Green Condominium,,Tampines,Condo,3400,1194,99 Years,27,44,36,Fully Furnished,15,none_nearby,none_nearby,Non-Freehold,8.131530710604252
"'Clubhouse', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,Quay Properties Pte Ltd (Far East Organization),D03,Jalan Besar,Flexible,River Place,,None,Condo,3700,1033,99 Years,63,22,21,Unknown,13,none_nearby,none_nearby,Non-Freehold,8.216088098632316
"'Jogging Track', 'Clubhouse', 'Function Room', 'Stove', 'Squash Court', 'Parking', 'Mid Floor', 'Basketball Court', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Tennis Court', 'Aircon', 'Maid Room', 'Sofa', 'Open Terrace', 'Bed', 'Swimming Pool', 'Jacuzzi', 'Fitness Corner', 'Security''",0,Choa Chu Kang Land Ltd (Capitaland),D23,Chua Chu Kang,less_than_24m,Northvale,Choa Chu Kang MRT/LRT,Choa Chu Kang,Condo,2200,650,99 Years,73,34,42,Fully Furnished,25,3,34,Non-Freehold,7.696212639346407
"'Lounge', 'Aircon', 'Stove', 'Fridge', 'Jacuzzi', 'Swimming Pool', 'Dryer', 'Oven', 'Washer', 'Gym', 'BBQ''",2,,D09,Tanjong Pagar,Flexible,The Peak @ Cairnhill II,Newton MRT,Newton,Condo,4000,904,Freehold,58,14,20,Unknown,11,6,82,Freehold,8.294049640102028
"'Gym', 'Sauna', 'Swimming Pool', 'Parking', 'Security', 'Lap Pool''",2,Unique Development Pte. Ltd.,D09,Tanjong Pagar,Flexible,The Boutiq,Somerset MRT,River Valley,Condo,3800,818,Freehold,57,13,15,Unknown,6,5,92,Freehold,8.242756345714477
"'Clubhouse', 'Stove', 'Walk In Closet', 'Oven', 'Parking', 'Balcony', 'City View', 'TV', 'Wading Pool', 'Utility Room', 'Playground', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Steam Room', 'Tennis Court', 'Pool View', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'Fitness Corner', 'Security', 'Bathtub', 'Lap Pool''",3,Wing Tai Asia,D09,Tanjong Pagar,greater_than_or_equal_24m,Visioncrest,Dhoby Ghaut MRT,None,Condo,5300,1152,Freehold,49,12,14,Fully Furnished,30,4,14,Freehold,8.575462099540212
"'Fun Pool', 'Clubhouse', 'Gym', 'Pool Deck', 'Viewing Deck', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Fitness Corner', 'Lap Pool', 'Tennis Court''",2,"Watervine Homes Pte Ltd (Frasers Centrepoint Homes,Sekisui House,Far East Organization)",D28,Ang Mo Kio,Flexible,Rivertrees Residences,Layar LRT,Sengkang,Condo,2550,710,99 Years,51,43,42,Unknown,13,2,96,Non-Freehold,7.843848638152472
"'Dishwasher', 'Aircon', 'Parking', 'Fridge', 'Jacuzzi', 'Swimming Pool', 'Wading Pool', 'Dryer', 'Fitness Corner', 'Pond', 'High Floor', 'Washer', 'Security', 'Balcony''",1,Wheelock Properties (S) Ltd,D09,Tanjong Pagar,greater_than_or_equal_24m,Scotts Square,Orchard MRT,Orchard,Condo,5000,624,Freehold,50,3,14,Fully Furnished,14,2,72,Freehold,8.517193191416238
"'Fitness Corner', 'Aircon', 'Washer', 'Stove', 'Fridge', 'Dryer', 'Launderette', 'Security', 'Gym''",1,,D03,Tanjong Pagar,Flexible,MDIS Residences @ Stirling,,Queenstown,Condo,535,100,-,73,26,26,Fully Furnished,9,none_nearby,none_nearby,-,6.282266746896006
"'Closet', 'Aircon', 'Bed', 'Swimming Pool', 'Squash Court', 'Tennis Court', 'Parking', 'Security', 'Fibre Ready''",1,Vihin Realty Pte Ltd,D11,Jalan Besar,less_than_24m,Pastoral View,Novena MRT,Novena,Condo,2950,650,Freehold,65,17,23,Unknown,9,7,45,Freehold,7.989560449333865
"'Clubhouse', 'Function Room', 'Spa Pavilion', 'Jacuzzi', 'Parking', 'Outdoor Dining', 'Balcony', 'City View', 'Aerobic Pool', 'Pool Deck', 'Wading Pool', 'Playground', 'Pool View', 'BBQ', 'Gym', 'Tennis Court', 'Underwater Fitness Station', 'Yoga Corner', 'Lap Pool', 'Billiards Room', 'Swimming Pool', 'Fitness Corner', 'High Floor', 'Security', 'Reflexology Path''",1,Novelty Orchard Development Pte Ltd,D09,Tanjong Pagar,Flexible,Espada,Somerset MRT,River Valley,Condo,2400,355,Freehold,57,13,15,Fully Furnished,25,5,66,Freehold,7.783224016336037
"'Gym', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'BBQ''",2,Mcl Land,D09,Tanjong Pagar,Flexible,The Metz,Somerset MRT,River Valley,Condo,6300,1066,Freehold,52,11,12,Unknown,7,2,82,Freehold,8.748304912379623
"'Gym', 'Swimming Pool', 'Playground', 'Parking', 'Security', 'BBQ''",3,Casuarina Properties Pte Ltd,D15,Marine Parade,Flexible,Lotus @ Joo Chiat,,Geylang,Condo,8000,2791,Freehold,53,43,35,Partially Furnished,6,none_nearby,none_nearby,Freehold,8.987196820661973
"'Water Feature', 'Spa Pavilion', 'Pond', 'Sky Terrace', 'Fun Pool', 'Pool Deck', 'Wading Pool', 'Playground', 'Games Room', 'BBQ', 'Gym', 'Waterfall', 'Tennis Court', 'Underwater Fitness Station', 'Multi-purpose Hall', 'Jet Pool', 'Yoga Corner', 'Viewing Deck', 'Mini Golf Range', 'Fitness Corner', 'Retail Shops', 'Lap Pool''",3,,D19,Hougang,Flexible,Kingsford Waterbay,,Hougang,Condo,3200,893,99 Years,57,44,43,Unknown,22,none_nearby,none_nearby,Non-Freehold,8.070906088787819
"'Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'City View', 'Utility Room', 'Playground', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Steam Room', 'Tennis Court', 'Aircon', 'Swimming Pool', 'High Floor', 'Security', 'Bathtub', 'Lap Pool''",4,Pacific Rover Pte Ltd,D11,Tanjong Pagar,greater_than_or_equal_24m,Trilight,Newton MRT,Novena,Condo,9200,2336,Freehold,56,12,17,Partially Furnished,22,4,7,Freehold,9.126958763037132
"'Clubhouse', 'City View', 'Fitness Corner', 'Renovated', 'Aircon', 'Stove', 'Pool Deck', 'Gym', 'Fridge', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Oven', 'Parking', 'High Floor', 'Washer', 'BBQ', 'Security', 'Tennis Court', 'Balcony''",0,Gem Homes Pte Ltd,D12,Bishan-Toa Payoh,Flexible,Gem Residences,,Toa Payoh,Condo,1900,300,99 Years,65,21,26,Partially Furnished,21,none_nearby,none_nearby,Non-Freehold,7.549609165154532
"'Clubhouse', 'City View', 'Security', 'Aircon', 'Stove', 'Attached Bathroom', 'Fridge', 'Jacuzzi', 'Swimming Pool', 'Dryer', 'Sea View', 'Playground', 'Oven', 'Parking', 'High Floor', 'Washer', 'Wading Pool', 'Gym', 'Tennis Court', 'Balcony''",2,FEC Skyline Pte Ltd,D03,Tanjong Pagar,Flexible,Artra,Redhill MRT,Bukit Merah,Condo,3900,786,99 Years,61,25,13,Partially Furnished,20,0,1,Non-Freehold,8.268731832117737
"'Clubhouse', 'Stove', 'Squash Court', 'Parking', 'Balcony', 'Renovated', 'Closet', 'TV', 'Greenery View', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'BBQ', 'Fridge', 'Sauna', 'Dryer', 'Tennis Court', 'Badminton Court', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'Study Room', 'Security''",2,,D21,Holland-Bukit Timah,Flexible,Clementi Park,,Clementi,Condo,3100,1625,Freehold,83,42,36,Fully Furnished,25,none_nearby,none_nearby,Freehold,8.039157390473237
"'Jogging Track', 'Pavilion', 'Mini Golf Range', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",3,Winjoy Investment Pte Ltd (Wing Tai Holdings),D21,Holland-Bukit Timah,Flexible,The Blossomvale,King Albert Park MRT,Bukit Timah,Condo,4500,1324,999 Years,64,23,29,Partially Furnished,13,2,3,Freehold,8.411832675758411
"'Gym', 'Wading Pool', 'Jacuzzi', 'Parking', 'Security', 'Lap Pool''",3,Sc Global Developments Ltd,D11,Tanjong Pagar,Flexible,The Lincoln Modern,,Novena,Condo,4988,1400,Freehold,62,15,23,Unknown,6,none_nearby,none_nearby,Freehold,8.514790306799927
"'Gym', 'Sauna', 'Swimming Pool', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",5,Shimizu-Ost Development Pte Ltd,D10,Tanjong Pagar,Flexible,Holland Peak,,Bukit Timah,Condo,7000,2551,Freehold,66,20,32,Unknown,8,none_nearby,none_nearby,Freehold,8.85366542803745
"'City View', 'Security', 'Renovated', 'Aircon', 'Squash Court', 'Sofa', 'Greenery View', 'Fridge', 'Bed', 'Swimming Pool', 'Dryer', 'Tennis Court', 'Oven', 'Parking', 'Mid Floor', 'Dining Room Furniture', 'Washer', 'Closet', 'Stove', 'Balcony''",3,Vihin Realty Pte Ltd,D11,Jalan Besar,greater_than_or_equal_24m,Pastoral View,Novena MRT,Novena,Condo,4300,1259,Freehold,65,17,23,Fully Furnished,20,7,45,Freehold,8.366370301681654
"'Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Games Room', 'Fun Pool', 'Pool Deck', 'Wading Pool', 'Utility Room', 'Fountain', 'Playground', 'Washer', 'Balcony', 'BBQ', 'Hydrotherapy Pool', 'Gym', 'Fridge', 'Low Floor', 'Dryer', 'Tennis Court', 'Aircon', 'Sculpture', 'Swimming Pool', 'Fitness Corner', 'Security', 'Lap Pool''",2,City Developments Ltd,D09,Tanjong Pagar,greater_than_or_equal_24m,Parc Emily,Little India MRT,None,Condo,4300,1001,Freehold,53,21,18,Partially Furnished,27,5,88,Freehold,8.366370301681654
"'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security''",2,Bayshore Green Pte Ltd,D15,Marine Parade,Flexible,The Sound,,Bedok,Condo,3850,893,Freehold,34,40,33,Unknown,7,none_nearby,none_nearby,Freehold,8.25582842728183
"'Jogging Track', 'Clubhouse', 'Basketball Court', 'Aerobic Pool', 'Sculpture', 'Gym', 'Spa Pavilion', 'Swimming Pool', 'Multi-purpose Hall', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Retail Shops', 'Lap Pool', 'BBQ', 'Tennis Court''",2,,D10,Tanjong Pagar,Flexible,D'leedon,,Bukit Timah,Condo,4200,1077,99 Years,70,23,34,Unknown,16,none_nearby,none_nearby,Non-Freehold,8.34283980427146
"'Jogging Track', 'Clubhouse', 'Function Room', 'Water Feature', 'Stove', 'Jacuzzi', 'Oven', 'Games Room', 'Closet', 'TV', 'Lounge', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'Balcony', 'BBQ', 'Hydrotherapy Pool', 'Gym', 'Fridge', 'Dryer', 'Steam Room', 'Ground Floor', 'Yoga Corner', 'Aircon', 'Sofa', 'Bed', 'Viewing Deck', 'Lap Pool''",3,,D09,Tanjong Pagar,greater_than_or_equal_24m,Sophia Hills,Dhoby Ghaut MRT,None,Condo,4600,900,99 Years,49,12,12,Unknown,29,4,6,Non-Freehold,8.433811582477187
"'High Ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Sky Terrace', 'City View', 'Balcony', 'Greenery View', 'Wading Pool', 'Lounge', 'Utility Room', 'Playground', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Dryer', 'Swimming Pool', 'Security', 'Retail', 'Lap Pool''",3,Uol/Kheng Leong/Low Keng Huat,D05,West Coast,Flexible,One North Residences,One-North MRT,Queenstown,Condo,5500,1313,99 Years,72,32,28,Partially Furnished,23,5,9,Non-Freehold,8.612503371220562
"'High Ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'City View', 'Closet', 'TV', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'Loft', 'Gym', 'Bomb Shelter', 'Fridge', 'Dryer', 'Sauna', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'High Floor', 'Security', 'Lap Pool''",2,Natwest Development Pte Ltd (Far East Organization),D01,Jalan Besar,Flexible,The Clift,Telok Ayer MRT,None,Condo,5600,1076,99 Years,54,23,11,Fully Furnished,24,4,29,Non-Freehold,8.630521876723241
"'Clubhouse', 'Gym', 'Pool Deck', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Parking', 'Security', 'Lap Pool', 'Hydrotherapy Pool''",1,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",D01,Jalan Besar,Flexible,Marina Bay Residences,Downtown MRT,None,Condo,4300,753,99 Years,52,19,11,Unknown,11,4,89,Non-Freehold,8.366370301681654
"'Swimming Pool', 'BBQ''",2,Springlife Land Pte Ltd,D11,Tanjong Pagar,Flexible,Suites @ Surrey,,Novena,Condo,3600,900,Freehold,63,14,22,Unknown,2,none_nearby,none_nearby,Freehold,8.1886891244442
"'Clubhouse', 'Aircon', 'Squash Court', 'Gym', 'Fridge', 'Sauna', 'Swimming Pool', 'Utility Room', 'Jacuzzi', 'Steam Room', 'Playground', 'Badminton Court', 'Parking', 'High Floor', 'Washer', 'Wading Pool', 'Security', 'BBQ', 'Tennis Court''",3,Bullion Holdings Pte Ltd (Far East Organization),D28,Ang Mo Kio,Flexible,Serenity Park,,Serangoon,Condo,3050,1313,Freehold,52,45,42,Partially Furnished,19,none_nearby,none_nearby,Freehold,8.022896869601457
"'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",5,Leonie Court Pte Ltd (Capitaland),D09,Tanjong Pagar,Flexible,Leonie Gardens,,River Valley,Condo,13800,3800,99 Years,62,14,27,Partially Furnished,9,none_nearby,none_nearby,Non-Freehold,9.532423871145296
"'Clubhouse', 'Jet Pool', 'Function Room', 'Water Feature', 'Yoga Corner', 'Gym', 'Mini Golf Range', 'Viewing Deck', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Outdoor Dining', 'Reflexology Path', 'BBQ''",1,Bayfront Ventures Pte Ltd,D07,Jalan Besar,Flexible,City Gate,Nicoll Highway MRT,Kallang,Condo,2500,431,99 Years,51,23,18,Unknown,16,4,22,Non-Freehold,7.824046010856292
"'Gym', 'Jacuzzi', 'Lap Pool''",2,Far East Success,D09,Tanjong Pagar,Flexible,The Scotts Tower,Newton MRT,Newton,Condo,6400,904,103 Years,57,11,18,Unknown,3,5,84,Non-Freehold,8.764053269347762
"'Loft', 'Closet', 'High Ceiling', 'Fridge', 'Bed', 'Aircon', 'Dryer', 'TV', 'Washer', 'Renovated''",0,,D15,Mountbatten,less_than_24m,289 Tanjong Katong Road,,Marine Parade,Condo,1500,250,-,48,33,25,Fully Furnished,10,none_nearby,none_nearby,-,7.313220387090301
"'Clubhouse', 'Water Feature', 'Gym', 'Sauna', 'Swimming Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",1,Wing Tai Holdings Ltd,D11,Tanjong Pagar,Flexible,L'viv,Newton MRT,Novena,Condo,3600,657,Freehold,57,13,19,Unknown,12,5,23,Freehold,8.1886891244442
"'Clubhouse', 'Gym', 'Sauna', 'Low Floor', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,Quay Properties Pte Ltd (Far East Organization),D03,Jalan Besar,Flexible,River Place,,None,Condo,3850,1051,99 Years,63,22,21,Partially Furnished,14,none_nearby,none_nearby,Non-Freehold,8.25582842728183
"'Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'City View', 'Renovated', 'Closet', 'TV', 'Greenery View', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Steam Room', 'Tennis Court', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'Fitness Corner', 'Security', 'Bathtub''",1,Quay Properties Pte Ltd (Far East Organization),D03,Jalan Besar,Flexible,River Place,,None,Condo,2899,786,99 Years,63,22,21,Unknown,28,none_nearby,none_nearby,Non-Freehold,7.972121128921655
"'High Ceiling', 'Stove', 'Jacuzzi', 'Parking', 'Bomb Shelter', 'Closet', 'TV', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'Loft', 'Gym', 'City View', 'Fridge', 'Dryer', 'Sauna', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'High Floor', 'Security', 'Lap Pool''",1,Natwest Development Pte Ltd (Far East Organization),D01,Jalan Besar,Flexible,The Clift,Telok Ayer MRT,None,Condo,4350,775,99 Years,54,23,11,Fully Furnished,23,4,29,Non-Freehold,8.37793112408273
',3,,D17,Pasir Ris-Punggol,Flexible,Loyang Gardens,,Pasir Ris,Condo,2590,1300,999 Years,40,60,52,Unknown,1,none_nearby,none_nearby,Freehold,7.859413154693583
"'Jogging Track', 'Fun Pool', 'Study Room', 'Function Room', 'Water Feature', 'Sky Terrace', 'Gym', 'Pool Deck', 'Clubhouse', 'Spa Pool', 'Steam Room', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'Retail Shops', 'Lap Pool', 'Karaoke', 'BBQ', 'Playground''",1,"City Developments Ltd,AIG Global Real Estate",D01,Jalan Besar,Flexible,The Sail @ Marina Bay,Downtown MRT,None,Condo,3700,678,99 Years,51,17,5,Unknown,20,3,16,Non-Freehold,8.216088098632316
"'Clubhouse', 'Function Room', 'Water Feature', 'Gym', 'Pool Deck', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Parking', 'Security', 'BBQ''",1,Allgreen Properties,D09,Tanjong Pagar,Flexible,Suites At Orchard,Dhoby Ghaut MRT,None,Condo,5000,839,99 Years,47,11,11,Unknown,11,2,2,Non-Freehold,8.517193191416238
"'Clubhouse', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Squash Court', 'Tennis Court', 'Parking', 'Security', 'BBQ', 'Games Room''",2,Spring Grove Development Pte Ltd (City Developments Ltd),D10,Tanjong Pagar,Flexible,Spring Grove,,Tanglin,Condo,3400,1012,99 Years,62,17,26,Unknown,11,none_nearby,none_nearby,Non-Freehold,8.131530710604252
"'City View', 'Aircon', 'Greenery View', 'Fridge', 'Dryer', 'Dishwasher', 'Washer', 'Bathtub', 'Stove', 'Balcony''",4,Irvine Investments Private Ltd,D10,Tanjong Pagar,greater_than_or_equal_24m,Ardmore Residence,,Newton,Condo,21500,3186,Freehold,55,12,25,Partially Furnished,10,none_nearby,none_nearby,Freehold,9.975808214115753
"'Aircon', 'TV', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Sauna', 'Jacuzzi', 'Swimming Pool', 'Dryer', 'Oven', 'Parking', 'Dining Room Furniture', 'Security', 'Lap Pool', 'Gym''",1,Natwest Development Pte Ltd (Far East Organization),D01,Jalan Besar,Flexible,The Clift,Telok Ayer MRT,None,Condo,4700,775,99 Years,54,23,11,Fully Furnished,16,4,29,Non-Freehold,8.45531778769815
"'Clubhouse', 'Aircon', 'TV', 'Bed', 'Tennis Court', 'Steam Room', 'Playground', 'Fitness Corner', 'Parking', 'High Floor', 'Security', 'Pool View', 'Lap Pool', 'BBQ', 'Balcony''",2,Tid Pte Ltd,D16,East Coast,Flexible,Optima @ Tanah Merah,Tanah Merah MRT,Bedok,Condo,3000,700,99 Years,28,34,26,Fully Furnished,15,1,2,Non-Freehold,8.006367567650246
"'Clubhouse', 'Gym', 'Swimming Pool', 'Jacuzzi', 'Playground', 'BBQ', 'Tennis Court''",3,,D04,West Coast,Flexible,Reflections At Keppel Bay,Telok Blangah MRT,Bukit Merah,Condo,10000,2250,99 Years,71,33,26,Unknown,7,6,68,Non-Freehold,9.210340371976184
"'Jogging Track', 'Fun Pool', 'Study Room', 'Function Room', 'Water Feature', 'Sky Terrace', 'Gym', 'Pool Deck', 'Clubhouse', 'Spa Pool', 'Steam Room', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'Retail Shops', 'Lap Pool', 'Karaoke', 'BBQ', 'Playground''",2,"City Developments Ltd,AIG Global Real Estate",D01,Jalan Besar,Flexible,The Sail @ Marina Bay,Downtown MRT,None,Condo,4800,883,99 Years,51,17,5,Unknown,20,3,16,Non-Freehold,8.476371196895983
"'Clubhouse', 'Fridge', 'Bed', 'Sauna', 'Swimming Pool', 'Utility Room', 'Jacuzzi', 'Steam Room', 'Playground', 'Parking', 'High Floor', 'Washer', 'Wading Pool', 'Lap Pool', 'Security', 'BBQ''",4,Far East Organization,D09,Tanjong Pagar,Flexible,Skyline @ Orchard Boulevard,Orchard MRT,River Valley,Condo,12600,2067,Freehold,55,5,15,Partially Furnished,16,4,46,Freehold,9.441452092939569
"'Clubhouse', 'Security', 'Aircon', 'Maid Room', 'Greenery View', 'Fridge', 'Swimming Pool', 'Playground', 'Parking', 'High Floor', 'Washer', 'Bathtub', 'Gym', 'BBQ', 'Tennis Court''",2,Hpl Properties Pte Ltd,D10,Tanjong Pagar,Flexible,Cuscaden Residences,,Orchard,Condo,5000,1238,Freehold,53,10,23,Partially Furnished,15,none_nearby,none_nearby,Freehold,8.517193191416238
"'Clubhouse', 'Gym', 'Pool Deck', 'Swimming Pool', 'Jacuzzi', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'BBQ''",1,Orchard Suites Residence Pte Ltd,D09,Tanjong Pagar,Flexible,Devonshire Residences,Somerset MRT,River Valley,Condo,3500,495,Freehold,53,11,12,Unknown,10,2,92,Freehold,8.160518247477505
"'Swimming Pool', 'High Ceiling', 'Sofa', 'Greenery View', 'Duplex / Maisonette', 'Fridge', 'Playground', 'Dryer', 'Study Room', 'Dining Room Furniture', 'Bathtub', 'Gym', 'BBQ', 'Balcony''",3,Manston Land Pte Ltd,D10,Holland-Bukit Timah,Flexible,Dukes Residence,Botanic Gardens MRT,Bukit Timah,Condo,4900,1630,Freehold,61,21,26,Unknown,14,6,54,Freehold,8.496990484098719
"'Clubhouse', 'Gym', 'Steam Room', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool''",2,Hong Realty (Private) Limited,D18,Pasir Ris-Punggol,Flexible,D'nest,,Pasir Ris,Condo,2700,754,99 Years,32,49,41,Unknown,7,none_nearby,none_nearby,Non-Freehold,7.90100705199242
"'Clubhouse', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'BBQ''",1,Sophia Residence Development Pte Ltd,D09,Tanjong Pagar,Flexible,Sophia Residence,Dhoby Ghaut MRT,None,Condo,3000,614,Freehold,48,13,13,Unknown,13,5,75,Freehold,8.006367567650246
"'Fun Pool', 'Basketball Court', 'Aircon', 'Water Feature', 'Reflexology Path', 'Lounge', 'Wading Pool', 'Jacuzzi', 'Playground', 'High Floor', 'Security', 'Lap Pool', 'Outdoor Dining', 'BBQ', 'Balcony''",3,SL Capital,D08,Jalan Besar,Flexible,Sturdee Residences,,Kallang,Condo,4200,829,99 Years,51,23,23,Unknown,15,none_nearby,none_nearby,Non-Freehold,8.34283980427146
"'Jogging Track', 'Pool Deck', 'Yoga Corner', 'Gym', 'Open Terrace', 'Driving Range', 'Spa Pool', 'Wading Pool', 'Waterfall', 'Playground', 'Fitness Corner', 'Parking', 'Pond', 'Security', 'Lap Pool', 'BBQ', 'Tennis Court''",1,Kingsford Development Pte Ltd,D23,Chua Chu Kang,Flexible,Kingsford . Hillview Peak,Hillview MRT,Bukit Batok,Condo,2700,570,99 Years,73,33,39,Unknown,17,6,45,Non-Freehold,7.90100705199242
"'City View', 'Renovated', 'Closet', 'Stove', 'Dishwasher', 'Fridge', 'Aircon', 'Dryer', 'Study Room', 'Oven', 'Washer', 'Fibre Ready''",1,Act Development Pte Ltd,D01,Jalan Besar,greater_than_or_equal_24m,Empire Lofts,Chinatown MRT,None,Condo,4200,640,-,52,18,15,Partially Furnished,12,2,49,-,8.34283980427146
"'High Ceiling', 'Stove', 'Walk In Closet', 'Oven', 'Parking', 'Balcony', 'City View', 'Renovated', 'Closet', 'Greenery View', 'Wading Pool', 'Playground', 'Washer', 'Fibre Ready', 'BBQ', 'Bomb Shelter', 'Fridge', 'Dryer', 'Aircon', 'Swimming Pool', 'Fitness Corner', 'High Floor', 'Security', 'Bathtub', 'Lap Pool''",2,Chedstone Investment Holdings Pte Ltd,D11,Tanjong Pagar,Flexible,Gilstead Two,Newton MRT,Novena,Condo,4650,904,Freehold,55,12,17,Unknown,25,3,80,Freehold,8.444622498581403
